UMAP_1,UMAP_2,Record_ID,Population_Stratum,Week End,ZIP Code,Latitude,Longitude,Case Rate - Cumulative
-5.1511865,18.199732,0.0,Q1_Low,2024-01-27,60601,41.886262,-87.622844,39448.0
-5.1498895,18.201088,1.0,Q1_Low,2024-02-10,60601,41.886262,-87.622844,39509.4
-5.14854,18.202198,2.0,Q1_Low,2024-02-17,60601,41.886262,-87.622844,39529.8
-5.6144853,2.4123755,3.0,Q1_Low,2023-11-18,60601,41.886262,-87.622844,38930.2
15.0041,12.869403,4.0,Q4_Very_High,2024-01-06,60625,41.971155,-87.701816,29402.0
14.782277,8.600239,5.0,Q3_High,2024-01-06,60626,42.009469,-87.669834,29105.2
15.531403,15.49644,6.0,Q3_High,2024-02-10,60630,41.971261,-87.759611,30998.9
-11.541612,9.90521,7.0,Q1_Low,2024-04-20,60606,41.882634,-87.63676,42276.7
10.274685,17.723675,8.0,Q2_Medium,2024-02-03,60631,41.995019,-87.813371,35707.3
-8.280124,4.5638714,9.0,Q1_Low,2024-04-20,60605,41.867824,-87.623449,29223.4
18.420252,2.8881328,10.0,Q4_Very_High,2023-09-30,60608,41.849879,-87.670366,26537.5
18.404655,2.8828535,11.0,Q4_Very_High,2023-10-07,60608,41.849879,-87.670366,26571.6
18.350014,2.8610168,12.0,Q4_Very_High,2023-10-14,60608,41.849879,-87.670366,26595.5
18.359243,2.863481,13.0,Q4_Very_High,2023-10-21,60608,41.849879,-87.670366,26622.1
18.360903,2.860214,14.0,Q4_Very_High,2023-10-28,60608,41.849879,-87.670366,26647.3
18.40997,2.8848982,15.0,Q4_Very_High,2023-11-04,60608,41.849879,-87.670366,26683.9
18.4328,2.8921373,16.0,Q4_Very_High,2023-11-11,60608,41.849879,-87.670366,26730.6
18.439135,2.8921978,17.0,Q4_Very_High,2023-11-18,60608,41.849879,-87.670366,26782.4
18.416721,2.880824,18.0,Q4_Very_High,2023-11-25,60608,41.849879,-87.670366,26839.2
18.447666,2.894478,19.0,Q4_Very_High,2023-12-02,60608,41.849879,-87.670366,26894.8
8.723004,-11.083589,20.0,Q3_High,2024-02-10,60619,41.744737,-87.60569,26368.8
5.763997,-6.4133124,21.0,Q2_Medium,2023-04-29,60610,41.90455,-87.63581,28873.1
5.769027,-6.4164343,22.0,Q2_Medium,2023-05-06,60610,41.90455,-87.63581,28903.9
5.7695193,-6.416837,23.0,Q2_Medium,2023-05-13,60610,41.90455,-87.63581,28926.9
12.828061,15.9058275,24.0,Q3_High,2024-03-02,60613,41.953742,-87.661343,28340.0
-11.532994,9.916468,25.0,Q1_Low,2024-03-02,60606,41.882634,-87.63676,42051.0
19.618055,1.8706703,26.0,Q4_Very_High,2024-03-02,60639,41.920609,-87.75531,34344.9
5.7533264,-6.408876,27.0,Q2_Medium,2023-05-20,60610,41.90455,-87.63581,28960.3
5.7723093,-6.419448,28.0,Q2_Medium,2023-05-27,60610,41.90455,-87.63581,28978.2
-9.986134,5.008713,29.0,Q2_Medium,2024-03-02,60607,41.876104,-87.652727,32651.8
-5.764459,-5.990474,30.0,Q1_Low,2024-03-02,60655,41.696456,-87.701434,31280.4
20.766262,7.930512,31.0,Q4_Very_High,2024-03-02,60634,41.944967,-87.797373,35407.6
4.674682,-5.4906893,32.0,Q2_Medium,2022-03-19,60610,41.90455,-87.63581,20333.7
4.6775904,-5.4939404,33.0,Q2_Medium,2022-03-26,60610,41.90455,-87.63581,20418.3
4.6791224,-5.4948187,34.0,Q2_Medium,2022-04-02,60610,41.90455,-87.63581,20543.8
4.6889772,-5.5043535,35.0,Q2_Medium,2022-04-09,60610,41.90455,-87.63581,20723.2
4.7111535,-5.5217075,36.0,Q2_Medium,2022-04-16,60610,41.90455,-87.63581,20943.6
4.687291,-5.499278,37.0,Q2_Medium,2022-04-23,60610,41.90455,-87.63581,21161.5
7.3171945,-10.307885,38.0,Q4_Very_High,2024-03-02,60617,41.721257,-87.556897,26148.0
18.409243,2.8638563,39.0,Q4_Very_High,2023-12-09,60608,41.849879,-87.670366,26976.8
18.441898,2.8941603,40.0,Q4_Very_High,2023-12-16,60608,41.849879,-87.670366,27033.6
18.433977,2.8915384,41.0,Q4_Very_High,2023-12-23,60608,41.849879,-87.670366,27099.3
6.893738,16.569098,42.0,Q2_Medium,2024-03-02,60612,41.88004,-87.687011,32788.3
-1.9211674,18.269854,43.0,Q2_Medium,2024-03-02,60611,41.894734,-87.620291,30472.5
16.528675,7.702871,44.0,Q3_High,2024-03-02,60622,41.902762,-87.681818,29916.8
5.587218,-6.2971635,45.0,Q2_Medium,2023-01-21,60610,41.90455,-87.63581,28040.2
5.7717657,-6.4191966,46.0,Q2_Medium,2023-06-03,60610,41.90455,-87.63581,28988.4
5.6317773,-6.336335,47.0,Q2_Medium,2023-02-04,60610,41.90455,-87.63581,28158.1
-7.42614,11.317561,48.0,Q1_Low,2023-11-18,60606,41.882634,-87.63676,40245.1
-11.532101,9.916968,49.0,Q1_Low,2024-02-24,60606,41.882634,-87.63676,41922.0
-3.6791198,8.80676,50.0,Q2_Medium,2020-09-05,60607,41.876104,-87.652727,2206.8
5.632553,-6.3355503,51.0,Q2_Medium,2023-02-11,60610,41.90455,-87.63581,28247.8
-8.279714,4.5633264,52.0,Q1_Low,2024-02-24,60605,41.867824,-87.623449,29070.8
11.641775,16.36594,53.0,Q2_Medium,2024-03-23,60610,41.90455,-87.63581,30972.1
-3.6461804,8.791745,54.0,Q2_Medium,2020-09-12,60607,41.876104,-87.652727,2281.1
-4.40374,8.350932,55.0,Q2_Medium,2021-01-09,60607,41.876104,-87.652727,6897.4
-5.065924,7.8255568,56.0,Q2_Medium,2021-05-22,60607,41.876104,-87.652727,9107.5
11.642923,16.36259,57.0,Q2_Medium,2024-01-13,60610,41.90455,-87.63581,30662.0
